route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
87907,nightbus,87907HYs-2830,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907RYs-2604,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907RYs-2904,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907HYs-2330,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907RYs-2004,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907RYs-2304,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907RYs-1904,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907RYs-2104,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907RYs-2704,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907HYs-1830,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907HYs-2730,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907HYs-2230,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907RYs-2204,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907HYs-1930,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907HYs-2130,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907RYs-2504,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907RYs-2804,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907RYs-2404,Wissenschaftsstadt,1,,87907RYs-2604
87907,nightbus,87907HYs-2630,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907HYs-2430,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907HYs-2530,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87907,nightbus,87907HYs-2030,Wiblingen (Alte Siedlung),0,,87907HYs-2830
87908,nightbus,87908HYs-1930,,0,,missingShape
87908,nightbus,87908RYs-2458,Ulm ZOB,1,,87908RYs-2458
87908,nightbus,87908RYs-2158,Ulm ZOB,1,,87908RYs-2458
