"service_id","date","exception_type"
"Su",20121227,2
"Su",20121228,2
"Su",20121229,2
"Su",20121230,2
"Su",20130102,2
"Su",20130103,2
"Su",20130104,2
"Su",20130218,2
"Su",20130219,2
"Su",20130220,2
"Su",20130221,2
"Su",20130222,2
"Su",20130225,2
"Su",20130226,2
"Su",20130227,2
"Su",20130228,2
"Su",20130301,2
"Su",20130304,2
"Su",20130305,2
"Su",20130306,2
"Su",20130307,2
"Su",20130308,2
"Su",20130311,2
"Su",20130312,2
"Su",20130313,2
"Su",20130314,2
"Su",20130315,2
"Su",20130318,2
"Su",20130319,2
"Su",20130320,2
"Su",20130321,2
"Su",20130322,2
"Su",20130325,2
"Su",20130326,2
"Su",20130327,2
"Su",20130328,2
"Su",20130402,2
"Su",20130403,2
"Su",20130404,2
"Su",20130405,2
"Su",20130408,2
"Su",20130409,2
"Su",20130410,2
"Su",20130411,2
"Su",20130412,2
"Su",20130723,2
"Su",20130724,2
"Su",20130725,2
"Su",20130726,2
"Su",20130729,2
"Su",20130730,2
"Su",20130731,2
"Su",20130801,2
"Su",20130802,2
"Su",20130805,2
"Su",20130806,2
"Su",20130807,2
"Su",20130808,2
"Su",20130809,2
"Su",20130812,2
"Su",20130813,2
"Su",20130814,2
"Su",20130815,2
"Su",20130816,2
"Su",20130819,2
"Su",20130820,2
"Su",20130821,2
"Su",20130822,2
"Su",20130823,2
"Su",20130826,2
"Su",20130827,2
"Su",20130828,2
"Su",20130829,2
"Su",20130830,2
"Su",20130902,2
"Su",20130903,2
"Su",20130904,2
"Su",20130905,2
"Su",20130906,2
"Su",20130909,2
"Su",20130910,2
"Su",20130911,2
"Su",20130912,2
"Su",20130913,2
"Su",20130916,2
"Su",20130917,2
"Su",20130918,2
"Su",20130919,2
"Su",20130920,2
"Su",20130923,2
"Su",20130924,2
"Su",20130925,2
"Su",20130926,2
"Su",20130927,2
"Su",20130930,2
"Su",20131001,2
"Su",20131002,2
"Su",20131004,2
"Su",20131007,2
"Su",20131008,2
"Su",20131009,2
"Su",20131010,2
"Su",20131011,2
"Ss",20121227,2
"Ss",20121228,2
"Ss",20130102,2
"Ss",20130103,2
"Ss",20130104,2
"Ss",20130211,2
"Ss",20130212,2
"Ss",20130213,2
"Ss",20130214,2
"Ss",20130215,2
"Ss",20130325,2
"Ss",20130326,2
"Ss",20130327,2
"Ss",20130402,2
"Ss",20130403,2
"Ss",20130404,2
"Ss",20130405,2
"Ss",20130521,2
"Ss",20130522,2
"Ss",20130523,2
"Ss",20130524,2
"Ss",20130527,2
"Ss",20130528,2
"Ss",20130529,2
"Ss",20130531,2
"Ss",20130725,2
"Ss",20130726,2
"Ss",20130729,2
"Ss",20130730,2
"Ss",20130731,2
"Ss",20130801,2
"Ss",20130802,2
"Ss",20130805,2
"Ss",20130806,2
"Ss",20130807,2
"Ss",20130808,2
"Ss",20130809,2
"Ss",20130812,2
"Ss",20130813,2
"Ss",20130814,2
"Ss",20130815,2
"Ss",20130816,2
"Ss",20130819,2
"Ss",20130820,2
"Ss",20130821,2
"Ss",20130822,2
"Ss",20130823,2
"Ss",20130826,2
"Ss",20130827,2
"Ss",20130828,2
"Ss",20130829,2
"Ss",20130830,2
"Ss",20130902,2
"Ss",20130903,2
"Ss",20130904,2
"Ss",20130905,2
"Ss",20130906,2
"Ss",20131028,2
"Ss",20131029,2
"Ss",20131030,2
"Ss",20131031,2
"Ss",20131223,2
"Ss",20131227,2
"Ss",20131230,2
"Sf",20121227,1
"Sf",20121228,1
"Sf",20130102,1
"Sf",20130103,1
"Sf",20130104,1
"Sf",20130211,1
"Sf",20130212,1
"Sf",20130213,1
"Sf",20130214,1
"Sf",20130215,1
"Sf",20130325,1
"Sf",20130326,1
"Sf",20130327,1
"Sf",20130402,1
"Sf",20130403,1
"Sf",20130404,1
"Sf",20130405,1
"Sf",20130521,1
"Sf",20130522,1
"Sf",20130523,1
"Sf",20130524,1
"Sf",20130527,1
"Sf",20130528,1
"Sf",20130529,1
"Sf",20130531,1
"Sf",20130725,1
"Sf",20130726,1
"Sf",20130729,1
"Sf",20130730,1
"Sf",20130731,1
"Sf",20130801,1
"Sf",20130802,1
"Sf",20130805,1
"Sf",20130806,1
"Sf",20130807,1
"Sf",20130808,1
"Sf",20130809,1
"Sf",20130812,1
"Sf",20130813,1
"Sf",20130814,1
"Sf",20130815,1
"Sf",20130816,1
"Sf",20130819,1
"Sf",20130820,1
"Sf",20130821,1
"Sf",20130822,1
"Sf",20130823,1
"Sf",20130826,1
"Sf",20130827,1
"Sf",20130828,1
"Sf",20130829,1
"Sf",20130830,1
"Sf",20130902,1
"Sf",20130903,1
"Sf",20130904,1
"Sf",20130905,1
"Sf",20130906,1
"Sf",20131028,1
"Sf",20131029,1
"Sf",20131030,1
"Sf",20131031,1
"Sf",20131223,1
"Sf",20131227,1
"Sf",20131230,1
"Su",20121224,2
"Ss",20121224,2
"Sf",20121224,1
0,20121225,2
3,20121225,1
"Fb",20121225,1
"Na",20121225,2
"Ss",20121225,2
"Su",20121225,2
"nightbus",20121225,1
0,20121226,2
3,20121226,1
"Ss",20121226,2
"Su",20121226,2
"Ss",20121231,2
"Su",20121231,2
0,20130101,2
3,20130101,1
"Ss",20130101,2
"Su",20130101,2
"Fa",20130328,1
"Na",20130328,2
"nightbus",20130328,1
0,20130329,2
3,20130329,1
"Ss",20130329,2
"Su",20130329,2
"Fb",20130329,1
"Nb",20130329,2
"nightbus",20130329,1
"Fb",20130331,1
"Nb",20130331,2
"nightbus",20130331,1
0,20130401,2
3,20130401,1
"Ss",20130401,2
"Su",20130401,2
"Fa",20130430,1
"Na",20130430,2
"nightbus",20130430,1
0,20130501,2
3,20130501,1
"Ss",20130501,2
"Su",20130501,2
"Fa",20130508,1
"Na",20130508,2
"nightbus",20130508,1
0,20130509,2
3,20130509,1
"Ss",20130509,2
"Su",20130509,2
"Fb",20130519,1
"Nb",20130519,2
"nightbus",20130519,1
0,20130520,2
3,20130520,1
"Ss",20130520,2
"Su",20130520,2
"Fa",20130529,1
"Na",20130529,2
"nightbus",20130529,1
0,20130530,2
3,20130530,1
"Ss",20130530,2
"Su",20130530,2
"Fa",20131002,1
"Na",20131002,2
"nightbus",20131002,1
0,20131003,2
3,20131003,1
"Ss",20131003,2
"Su",20131003,2
"Fa",20131031,1
"Na",20131031,2
"nightbus",20131031,1
0,20131101,2
3,20131101,1
"Ss",20131101,2
"Su",20131101,2
"Fb",20131101,1
"Na",20131101,2
"nightbus",20131101,1
